Product_No,Product_title
1000,"Renkforce Strom Verlängerungskabel [1x IDE-Strom-Stecker 4pol. - 2x IDE-Strom-Buchse 4pol.] 20.00 cm Schwarz, Rot, Gelb"
1001,Renkforce Strom Anschlusskabel [1x ATX-Strom-Stecker 14pol. - 1x ATX-Strom-Buchse 24pol.] 25.00 cm Bunt
1002,"Akasa Strom Adapter [2x SATA-Strom-Stecker 15pol. - 1x PCIe-Stecker 6pol.] 15.00 cm Schwarz, Gelb"
1003,LogiLink Kaltgeräte Anschlusskabel [1x Schutzkontakt-Stecker - 1x Kaltgeräte-Buchse C13] 3.00 m Schwarz
1004,Digitus RJ45 Netzwerk Anschlusskabel CAT 5e U/UTP 0.50 m Gelb verdrillte Paare
1006,"Renkforce RJ45 Netzwerk Verlängerungskabel CAT 6 S/FTP 20.00 m Violett mit Rastnasenschutz, vergoldete Steckkontakte"
1005,"BKL Electronic 073331 Kaltgeräte-Adapter Kaltgeräte-Stecker C14 - Kaltgeräte-Buchse C13, Kaltgeräte-Buchse C13 Schwarz 1 St."
1007,"Netz-Anschlusskabel Kleeblatt-Buchse C5 - Kabel, offenes Ende Gesamtpolzahl: 2 + PE      Schwarz 50 cm 1 St."
1008,"Neutrik NKFCA30-0 Netz-Anschlusskabel PowerCon-Buchse - Kabel, offenes Ende Gesamtpolzahl: 3 Schwarz 3.00 m 1 St."
1009,SIROX 346.310.04 Strom Verlängerungskabel 16 A Rot 10.00 m
1010,Metabo 627664000 Beton-Spiralbohrer 1 Stück 20 mm Gesamtlänge 160 mm 1 St.
1011,Bosch Accessories 2608577050 2608577050 Stein-Spiralbohrer 3.30 mm Gesamtlänge 75 mm 1 St.
1012,Bosch Accessories 2608585860 HSS Metall-Spiralbohrer 8 mm Gesamtlänge 117 mm Cobalt DIN 338 Zylinderschaft 1 St.
1013,"Gedore 27 30X32 6225910 Radsteckschlüssel 30 mm, 32 mm 400 mm 1 St."
1014,"Stahlwille 506 QR 13071000 Steckschlüssel-Quergriff Antrieb 1/2"" (12.5 mm) Abtrieb 1/2"" (12.5 mm) 300 mm 1 St."
1015,Wolfcraft 3898000 Lochsäge 83 mm     1 St.
1016,Fein HM-Ultra 50 63127035011 Kernbohrer 51 mm     1 St.
1017,"Weller LT-F Lötspitze Rundform, abgeschrägt Spitzen-Größe 1.2 mm Inhalt 1 St."
1018,Ersa 0742ED2351H/SB Entlötspitze Konisch Spitzen-Länge 79.25 mm Inhalt 1 St.
1019,Ersa i-CON VARIO 2HP ® / I-TOOL Lötstation digital 250 W +150 bis +450 °C
1020,Greifarmzwinge GRA 1000/120 Bessey GRA100-12 Spannbereich:1000 mm Ausladungs-Maße:120 mm ++
1021,OMEGA-Schraubzwinge GMZ-K 250/120 Bessey GM25ZK Spannbereich:250 mm Ausladungs-Maße:120 mm
1022,Knipex ® 00 21 19 LB WK Werkzeugtafel 2teilig (L x B x H) 375 x 310 x 55 mm
1023,"Universal Werkzeugkoffer unbestückt (B x H x T) 455 x 165 x 330 mm , "
1024,"Eventus 10245 Handgewindebohrer Mittelschneider UNC 1/4"" 20 mm Rechtsschneidend DIN 352, DIN 2184 HSS 1 St.,"
1025,Eventus 10384 Maschinengewindebohrer metrisch M6 1 mm Rechtsschneidend DIN 371 HSS-E 35° RSP 1 St.